lon,x_m_from_west,skyline_elevation_m
113.97587541,15538.284,500.760
113.97604718,15555.982,492.822
113.97621895,15573.679,484.886
113.97639073,15591.376,476.959
113.97656250,15609.074,469.050
113.97673427,15626.771,461.168
113.97690605,15644.468,453.318
113.97707782,15662.166,445.509
113.97724959,15679.863,437.745
113.97742137,15697.561,430.034
113.97759314,15715.258,422.380
113.97776491,15732.955,414.790
113.97793669,15750.653,407.269
113.97810846,15768.350,399.825
113.97828023,15786.047,392.465
113.97845201,15803.745,385.201
113.97862378,15821.442,378.046
113.97879555,15839.139,371.011
113.97896732,15856.837,364.108
113.97913910,15874.534,357.348
113.97931087,15892.232,350.742
113.97948264,15909.929,344.304
113.97965442,15927.626,338.045
113.97982619,15945.324,331.977
113.97999796,15963.021,326.111
113.98016974,15980.718,320.457
113.98034151,15998.416,315.024
113.98051328,16016.113,309.820
113.98068506,16033.810,304.854
113.98085683,16051.508,300.133
113.98102860,16069.205,295.665
113.98120038,16086.903,291.454
113.98137215,16104.600,287.506
113.98154392,16122.297,283.825
113.98171570,16139.995,280.414
113.98188747,16157.692,277.275
113.98205924,16175.389,274.405
113.98223102,16193.087,271.805
113.98240279,16210.784,269.469
113.98257456,16228.481,267.394
113.98274634,16246.179,265.573
113.98291811,16263.876,264.002
113.98308988,16281.574,262.674
113.98326166,16299.271,261.584
113.98343343,16316.968,260.726
113.98360520,16334.666,260.093
113.98377697,16352.363,259.679
113.98394875,16370.060,259.479
113.98412052,16387.758,259.488
113.98429229,16405.455,259.698
113.98446407,16423.152,260.106
113.98463584,16440.850,260.702
